,team_name,X,Y,Z,tick,steamid,name
4,TERRORIST,-1504.0363,-401.58545,11488.031,174515,76561198095896540,docz1n
5,TERRORIST,-2142.7446,-533.46295,11504.663,174515,76561198307734468,rdn---
6,CT,-2225.299,613.64905,11753.083,174515,76561198377335846,snow_-_
7,TERRORIST,-2187.3188,-819.1901,11787.461,174515,76561198809462276,koaLx
8,TERRORIST,-1424.3402,-285.31006,11488.031,174515,76561198135228658,gafolo
9,TERRORIST,-1453.9061,-339.6054,11488.031,174515,76561198858681422,pepe--
0,CT,-2358.0579,260.80844,11770.078,174579,76561198350342505,nqz-
1,CT,-824.65533,-313.7909,11776.031,174579,76561198074017668,lux1-
2,CT,-885.9793,-330.34528,11776.031,174579,76561198015308884,biguzera-
3,CT,-924.416,-375.29395,11776.031,174579,76561198385657675,kauez_
4,TERRORIST,-1380.4868,-188.97394,11488.031,174579,76561198095896540,docz1n
5,TERRORIST,-2182.151,-572.65356,11488.031,174579,76561198307734468,rdn---
6,CT,-2328.4995,414.89627,11744.031,174579,76561198377335846,snow_-_
7,TERRORIST,-2188.6616,-726.3181,11776.031,174579,76561198809462276,koaLx
8,TERRORIST,-1255.661,-118.53125,11488.031,174579,76561198135228658,gafolo
9,TERRORIST,-1318.5881,-141.42035,11488.031,174579,76561198858681422,pepe--
0,CT,-2219.049,148.59467,11616.331,174643,76561198350342505,nqz-
1,CT,-802.0314,-511.3194,11819.031,174643,76561198074017668,lux1-
2,CT,-941.96875,-501.25085,11776.031,174643,76561198015308884,biguzera-
3,CT,-777.23474,-554.58813,11797.456,174643,76561198385657675,kauez_
4,TERRORIST,-1166.9491,-97.36157,11488.031,174643,76561198095896540,docz1n
5,TERRORIST,-2186.907,-560.2114,11488.031,174643,76561198307734468,rdn---
6,CT,-2387.5483,291.14603,11744.031,174643,76561198377335846,snow_-_
7,TERRORIST,-2147.3718,-844.7488,11781.031,174643,76561198809462276,koaLx
8,TERRORIST,-1022.9101,-122.28351,11488.031,174643,76561198135228658,gafolo
9,TERRORIST,-1078.4944,-106.84027,11488.031,174643,76561198858681422,pepe--
0,CT,-2130.283,184.03778,11616.331,174707,76561198350342505,nqz-
1,CT,-665.72217,-577.97736,11776.031,174707,76561198074017668,lux1-
2,CT,-941.96844,-500.3744,11776.031,174707,76561198015308884,biguzera-
3,CT,-559.56085,-652.86395,11776.031,174707,76561198385657675,kauez_
4,TERRORIST,-930.28204,-86.607544,11488.031,174707,76561198095896540,docz1n
5,TERRORIST,-2291.6565,-439.6659,11488.031,174707,76561198307734468,rdn---
6,CT,-2431.1194,235.91809,11744.031,174707,76561198377335846,snow_-_
7,TERRORIST,-2190.9688,-860.75525,11790.827,174707,76561198809462276,koaLx
8,TERRORIST,-824.3139,-139.07513,11488.031,174707,76561198135228658,gafolo
9,TERRORIST,-870.66394,-214.25409,11488.031,174707,76561198858681422,pepe--
0,CT,-2235.515,156.44891,11616.331,174771,76561198350342505,nqz-
1,CT,-455.96057,-693.7429,11775.499,174771,76561198074017668,lux1-
2,CT,-942.13464,-519.8851,11776.031,174771,76561198015308884,biguzera-
3,CT,-352.52808,-765.06433,11776.572,174771,76561198385657675,kauez_
4,TERRORIST,-820.71747,-271.2494,11488.031,174771,76561198095896540,docz1n
5,TERRORIST,-2210.428,-459.58484,11488.031,174771,76561198307734468,rdn---
6,CT,-2449.0208,127.02571,11744.048,174771,76561198377335846,snow_-_
7,TERRORIST,-2192.3958,-813.68726,11780.379,174771,76561198809462276,koaLx
8,TERRORIST,-747.5633,-156.71808,11488.031,174771,76561198135228658,gafolo
9,TERRORIST,-814.6375,-414.0653,11499.549,174771,76561198858681422,pepe--
0,CT,-2390.4438,45.66131,11552.031,174835,76561198350342505,nqz-
1,CT,-266.26587,-833.7902,11776.031,174835,76561198074017668,lux1-
2,CT,-940.71924,-519.7703,11776.031,174835,76561198015308884,biguzera-
3,CT,-341.9093,-997.75867,11776.031,174835,76561198385657675,kauez_
4,TERRORIST,-916.04456,-411.81226,11495.856,174835,76561198095896540,docz1n
5,TERRORIST,-2084.5466,-454.76172,11533.762,174835,76561198307734468,rdn---
6,CT,-2385.0188,208.66867,11744.031,174835,76561198377335846,snow_-_
7,TERRORIST,-2317.143,-765.2143,11776.031,174835,76561198809462276,koaLx
8,TERRORIST,-745.7758,-157.25012,11488.031,174835,76561198135228658,gafolo
9,TERRORIST,-710.84705,-493.86865,11519.499,174835,76561198858681422,pepe--
0,CT,-2469.1313,-57.601746,11552.031,174899,76561198350342505,nqz-
1,CT,-179.37158,-1042.6937,11776.031,174899,76561198074017668,lux1-
2,CT,-923.6477,-485.9532,11777.031,174899,76561198015308884,biguzera-
3,CT,-498.60425,-1047.4718,11776.031,174899,76561198385657675,kauez_
4,TERRORIST,-933.9223,-455.9579,11496.031,174899,76561198095896540,docz1n
5,TERRORIST,-2001.3022,-458.87244,11552.031,174899,76561198307734468,rdn---
6,CT,-2360.1318,252.23494,11744.031,174899,76561198377335846,snow_-_
7,TERRORIST,-2321.321,-757.7786,11776.031,174899,76561198809462276,koaLx
8,TERRORIST,-745.7758,-157.25012,11488.031,174899,76561198135228658,gafolo
9,TERRORIST,-634.0349,-471.96863,11497.422,174899,76561198858681422,pepe--
0,CT,-2526.5688,-148.85498,11552.031,174963,76561198350342505,nqz-
1,CT,-127.36194,-1176.0162,11776.031,174963,76561198074017668,lux1-
2,CT,-847.1285,-442.1692,11824.764,174963,76561198015308884,biguzera-
3,CT,-450.57867,-1073.1606,11776.031,174963,76561198385657675,kauez_
4,TERRORIST,-884.99384,-462.01953,11511.537,174963,76561198095896540,docz1n
5,TERRORIST,-1973.7748,-454.172,11552.031,174963,76561198307734468,rdn---
6,CT,-2368.747,250.039,11744.031,174963,76561198377335846,snow_-_
7,TERRORIST,-2324.4622,-752.041,11776.031,174963,76561198809462276,koaLx
8,TERRORIST,-744.04865,-151.44739,11488.031,174963,76561198135228658,gafolo
9,TERRORIST,-636.2783,-451.14026,11493.383,174963,76561198858681422,pepe--
0,CT,-2534.5923,-193.01208,11620.031,175027,76561198350342505,nqz-
1,CT,-111.02112,-1382.6506,11776.031,175027,76561198074017668,lux1-
2,CT,-802.0302,-496.96765,11819.031,175027,76561198015308884,biguzera-
3,CT,-340.31848,-982.1608,11776.031,175027,76561198385657675,kauez_
4,TERRORIST,-922.0207,-439.79358,11496.031,175027,76561198095896540,docz1n
5,TERRORIST,-2001.3966,-491.37744,11552.031,175027,76561198307734468,rdn---
6,CT,-2357.9895,254.82349,11744.031,175027,76561198377335846,snow_-_
7,TERRORIST,-2328.3755,-744.5988,11776.031,175027,76561198809462276,koaLx
8,TERRORIST,-651.07935,-184.83215,11488.031,175027,76561198135228658,gafolo
9,TERRORIST,-628.0314,-391.3883,11492.031,175027,76561198858681422,pepe--
0,CT,-2506.0312,-176.52936,11672.2705,175091,76561198350342505,nqz-
1,CT,-91.19183,-1340.7589,11776.031,175091,76561198074017668,lux1-
2,CT,-802.0302,-496.96765,11819.031,175091,76561198015308884,biguzera-
3,CT,-358.18018,-1003.8098,11782.225,175091,76561198385657675,kauez_
4,TERRORIST,-951.615,-459.48102,11496.031,175091,76561198095896540,docz1n
5,TERRORIST,-2040.4609,-488.41907,11552.031,175091,76561198307734468,rdn---
